"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1895159567409189161","Thu Feb 27 17:12:29 +0000 2025","0","@cosmosmisu @cosmosmisu Boleh konfirmasi ke DM nomor IndiHome dan atas nama lengkapnya biar dibantu follow up dan rahasia data lebih terjaga. Makasih :) -Dero","1895160087897157654","","cosmosmisu","in","","0","0","0","https://x.com/undefined/status/1895160087897157654","765035200896118789",
"1895152522031255812","Thu Feb 27 17:09:10 +0000 2025","0","@blossomruru UDAH KAK lemot... indihome ga jelas","1895159249216614910","","haeyinnruru","in","","0","1","0","https://x.com/undefined/status/1895159249216614910","1249274715723595782",
"1895158108114374751","Thu Feb 27 17:04:37 +0000 2025","0","ml kontol indihome kontl semuanya kontl","1895158108114374751","","","in","","0","1","0","https://x.com/undefined/status/1895158108114374751","1355460296828051459",
"1895157327927615624","Thu Feb 27 17:03:45 +0000 2025","0","@ddinieyy @IndiHome @ddinieyy Kendala internet lambat bisa disebabkan karena batas pemakain internet (FUP) sudah melebihi batas pemakaian wajar. Biar bisa dibantu cek dulu silakan kirim nomor internet dan nama pemiliknya ke DM ya. Thx. -Beeru","1895157889091936541","","ddinieyy","in","","0","0","0","https://x.com/undefined/status/1895157889091936541","765035200896118789",
"1895157327927615624","Thu Feb 27 17:01:31 +0000 2025","0","@IndiHome @IndiHomeCare min tolong wifi di rumah ku lemot banget 3 hari ini gmna ya? padahal kmrn udah bayar ga sabar","1895157327927615624","","IndiHome","in","","0","1","0","https://x.com/undefined/status/1895157327927615624","1187905634068357121",
"1895156542074429895","Thu Feb 27 16:58:24 +0000 2025","0","halo @IndiHome ini kenapa makin kesini internet dirumah makin lemot ya bahkan untuk buka mobile banking aja susah ckckck","1895156542074429895","","","in","","0","0","0","https://x.com/undefined/status/1895156542074429895","358848761",
"1895151984795361398","Thu Feb 27 16:54:27 +0000 2025","0","@rinamalunaa @rinamalunaa Makasih juga ya udah jadi pengguna setia IndiHome. Jika ada yang bisa dibantu kembali jangan ragu untuk konfirmasi lagi yaa. Makasih :) -Dero","1895155546963214483","","rinamalunaa","in","","0","0","0","https://x.com/undefined/status/1895155546963214483","765035200896118789",
"1895154475167556060","Thu Feb 27 16:50:11 +0000 2025","0","Gue paham sih emang kata katanya up to 100mbps gw baru aja upgrade paket dari 50mbps ke paket Jitu 100mbps. tapi ga segini juga lahhhh cuy @IndiHome https://t.co/ZUJ1fUBwlm","1895154475167556060","https://pbs.twimg.com/media/GkzwxZuaoAU7Brr.jpg","","in","","0","1","0","https://x.com/undefined/status/1895154475167556060","80752884",
"1895151984795361398","Thu Feb 27 16:49:17 +0000 2025","0","Seneng bgt indihome @IndiHomeCare sekarang gercep bgt ","1895154247358128504","","rinamalunaa","in","","0","1","0","https://x.com/undefined/status/1895154247358128504","1547273179600912384",
"1895152783495700593","Thu Feb 27 16:47:26 +0000 2025","0","@petrichorce Hallo Kak Patrick. Mohon maaf ya jadi ganggu aktivitasnya. Neira bantu cek dan optimalkan kembali jaringannya boleh infoin nomor IndiHome dan atas namanya ke DM yaa. Neira tunggu ️ -Neira","1895153781651972525","","petrichorce","in","","0","0","0","https://x.com/undefined/status/1895153781651972525","765035200896118789",
"1895151984795361398","Thu Feb 27 16:40:18 +0000 2025","0","Jam segini ada aja kelakuan kucing yg bikin istigfar kabel indihome putus Perkara dia mau nangkep cakcak ya Allah","1895151984795361398","","","in","","0","1","0","https://x.com/undefined/status/1895151984795361398","1547273179600912384",
"1895135366908387839","Thu Feb 27 16:25:04 +0000 2025","0","@bluenoisy_ @bluenoisy_ Coba konfirmasi ke DM Kak Aca nomor IndiHome dan atas nama lengkapnya biar dibantu follow up sama rahasia data lebih terjaga. Makasih :) -Dero","1895148154074595684","","bluenoisy_","in","","0","0","0","https://x.com/undefined/status/1895148154074595684","765035200896118789",
"1895135366908387839","Thu Feb 27 16:21:05 +0000 2025","0","@madmochiie coba ngobrol sm itu indihome yg rep di bawah","1895147152168644944","","madmochiie","in","","0","0","0","https://x.com/undefined/status/1895147152168644944","1456211747186954245",
"1895146576810779040","Thu Feb 27 16:18:48 +0000 2025","0","indihome kenapa dahhh","1895146576810779040","","","in","","0","1","0","https://x.com/undefined/status/1895146576810779040","1313810155843190785",
